,rxn
42501,CC(=O)O.CS(C)=O.FC(F)(F)C(Oc1nc2ccccc2nc1Cl)c1cccnc1.NS(=O)(=O)C(F)(F)F.O=C([O-])[O-].[K+].[K+]>>O=S(=O)(Nc1nc2ccccc2nc1OC(c1cccnc1)C(F)(F)F)C(F)(F)F
22777,CC(=O)O.CC(NC=O)c1ccncc1.[H][H]>>CC(NC=O)C1CCNCC1
17479,CCCC(C)(Br)C(=O)[O-].CCOC(=O)C(C)(C)Oc1ccc(CN)c(Cl)c1.O=C(O)c1cnc(-c2ccc(C(F)(F)F)cc2)nc1C1CC1.O=Cc1ccc(O)cc1Cl>>CCOC(=O)C(C)(C)Oc1ccc(CNC(=O)c2cnc(-c3ccc(C(F)(F)F)cc3)nc2C2CC2)c(Cl)c1
9165,CN(C)C=O.O.O=[N+]([O-])c1ccc(F)c(Cl)c1.OCc1cccc(F)c1.[H-].[Na+]>>O=[N+]([O-])c1ccc(OCc2cccc(F)c2)c(Cl)c1
29129,CCCCc1ccc(C#Cc2ccc(CNCc3ccc(OCC(=O)OC)cc3)cc2)cc1.O=C(O)c1ccc(O)nc1>>CCCCc1ccc(C#Cc2ccc(CN(Cc3ccc(OCC(=O)OC)cc3)C(=O)c3ccc(O)nc3)cc2)cc1
6537,Cc1c(N2CCC2=O)nc2cc(F)cc(F)c2c1Cl.Cc1ccccc1.Nc1cncc(N2CCOCC2)c1.O=C([O-])[O-].[Cs+].[Cs+]>>Cc1c(N2CCC2=O)nc2cc(F)cc(F)c2c1Nc1cncc(N2CCOCC2)c1
17609,C1CCOC1.CC(C)O.CO.Cc1ccc(S(=O)(=O)O[C@H]2CO[C@@H]3[C@@H](Br)CO[C@H]23)cc1.N.O.O=C(NC[C@@H](O)[C@@H]1C=CCO1)OCc1ccccc1.[Cl-].[NH4+].[NH4+].[OH-].[Zn]>>NC[C@@H](O)[C@@H]1C=CCO1
1122,CCOC(=O)CC1CCN(C(=O)CC[C@H]2O[C@H](c3cccc(OC)c3OC)c3cc(Cl)ccc3-n3c(C#N)ccc32)CC1.CO>>COc1cccc([C@H]2O[C@H](CCC(=O)N3CCC(CC(=O)O)CC3)c3ccc(C#N)n3-c3ccc(Cl)cc32)c1OC
672,C1CCOC1.CCN(CC)CC.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1.O=C(O[C@@H]1CO[C@@H]2[C@H](O)CO[C@H]12)N1CCC(O[N+](=O)[O-])CC1>>O=C(Oc1ccc([N+](=O)[O-])cc1)O[C@@H]1CO[C@@H]2[C@H](OC(=O)N3CCC(O[N+](=O)[O-])CC3)CO[C@H]12
18508,C1COCCN1.CC(C)O.CN1CC(CCCl)Oc2ncccc2C1=O.Cl.O=C(O)/C=C\C(=O)O.[Na+].[OH-]>>CN1CC(CCN2CCOCC2)Oc2ncccc2C1=O.O=C(O)/C=C\C(=O)O
4315,CI.CN(C)C=O.O.O=C([O-])[O-].Oc1cccc(O)c1O.[Li+].[Li+]>>COc1c(O)cccc1O
45282,C1CCOC1.C[Mg+].O=C1CCOc2c(F)cc(F)cc21.[Br-]>>CC1(O)CCOc2c(F)cc(F)cc21
8971,C1CCOC1.CCN(C(C)C)C(C)C.CC[C@H](N)c1nc2cc(Cl)ccc2[nH]1.CN(C)C(On1nnc2ccccc21)=[N+](C)C.CO.Cc1cc(C(=O)O)ccc1C(=O)N1CCCC1.ClCCl.ClCl.F[B-](F)(F)F>>CC[C@H](NC(=O)c1ccc(C(=O)N2CCCC2)c(C)c1)c1nc2cc(Cl)ccc2[nH]1
43118,C1COCCO1.CC(C)(C)OC(=O)N1CCc2cccc(CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3ncc(N4CCOCC4)cn3)c21.CCOC(C)=O.Cl.O=C([O-])O.[Na+]>>FC(F)(F)c1cc(CN(Cc2cccc3c2NCC3)c2ncc(N3CCOCC3)cn2)cc(C(F)(F)F)c1
4455,C1CCOC1.CC(=O)[C@@H]1CC[C@@H](CNC(=O)OCc2ccccc2)CC1.O>>CC(O)[C@@H]1CC[C@@H](CNC(=O)OCc2ccccc2)CC1
29688,CCOc1cc(CN2CCC(N)CC2)ccc1Cl.COc1cccc(C(=O)O)c1OC>>CCOc1cc(CN2CCC(NC(=O)c3cccc(OC)c3OC)CC2)ccc1Cl
32947,CC(=O)[O-].CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O.CCO.Cc1cc(C)c2c(c1O)C(N)CC2.Cl.O.[BH4-].[Na+].[Na+]>>Cc1cc(C)c2c(c1O)C(NCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CC2
2863,C1CCNCC1.CN(C)C=O.CS(=O)(=O)OC1CN(c2nc3ccc(Br)cc3s2)C1.O.O=C([O-])[O-].[K+].[K+]>>Brc1ccc2nc(N3CC(N4CCCCC4)C3)sc2c1
44935,CCOC(C)=O.O=C1c2ccccc2C(=O)N1C1CCc2[nH]c3ccc([N+](=O)[O-])cc3c2C1.[Ni]>>Nc1ccc2[nH]c3c(c2c1)CC(N1C(=O)c2ccccc2C1=O)CC3
15936,CCOC(C)=O.COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@@H](C)OC(=O)CNC(=O)OC(C)(C)C)n(-c5ccccc5)c4=O)nc3)ccnc2c1.Cl>>COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C[C@@H](C)OC(=O)CN)n(-c5ccccc5)c4=O)nc3)ccnc2c1.Cl
16188,C(=NC1CCCCC1)=NC1CCCCC1.CC(C)Cc1ccc(C(C)C(=O)Oc2ccc(C(=O)OCC(O)CO)cc2)cc1.CCOC(C)=O.CN(C)c1ccncc1.ClCCl.O.O.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.Oc1cc(O)cc(O)c1>>O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)Oc1cc(O)cc(O)c1
16399,CO.COC(=O)c1cc2cc(C(F)(F)F)ccc2s1.O.O.[Li+].[OH-]>>O=C(O)c1cc2cc(C(F)(F)F)ccc2s1
1599,C1CCOC1.CO.COC(=O)C[C@@H]1COc2cc(NCc3cccc(-c4cc(C)sc4C)c3C)ccc21.[Na+].[OH-]>>Cc1cc(-c2cccc(CNc3ccc4c(c3)OC[C@H]4CC(=O)O)c2C)c(C)s1
1738,CC(=O)NCc1cc(N2CCN(C(=O)OC(C)(C)C)CC2)ccc1N.CCO.O.[K+].[OH-]>>CC(C)(C)OC(=O)N1CCN(c2ccc(N)c(CN)c2)CC1
30235,C1CCOC1.CCNC(=O)CN1CC[C@H]2C[C@@H](C(=O)OCC)N(S(=O)(=O)c3ccc(OC)cc3)[C@H]2C1.O.O.[Li+].[OH-]>>CCNC(=O)CN1CC[C@H]2C[C@@H](C(=O)O)N(S(=O)(=O)c3ccc(OC)cc3)[C@H]2C1
11708,CC(C)(C)OC(=O)NC1(C(=O)O)CC1.CC1CCC(C)C1O.CN(C)c1ccncc1.ClCCl>>CC1CCC(C)C1OC(=O)C1(NC(=O)OC(C)(C)C)CC1
199,Cc1ccccc1C(N)c1ccccc1C.ClCCl.O.O=Cc1ccccn1>>Cc1ccccc1C(/N=C/c1ccccn1)c1ccccc1C
28026,C1CC2(CCN1)OCCO2.O=S(=O)(NCCO)c1ccc(F)cc1>>O=S(=O)(NCCO)c1ccc(N2CCC3(CC2)OCCO3)cc1
15102,CC(C)(C)N=C=S.CC(C)C(=O)Nc1cccc(C2CCN(CCCN)CC2)c1>>CC(C)C(=O)Nc1cccc(C2CCN(CCCNC(=S)NC(C)(C)C)CC2)c1
9420,C1CCOC1.CN=C=O.Cc1cc(Cc2ccc(N)cn2)n(C)c1C(=O)c1ccc(Cl)cc1>>CNC(=O)Nc1ccc(Cc2cc(C)c(C(=O)c3ccc(Cl)cc3)n2C)nc1
47459,CC(=O)O[BH-](OC(C)=O)OC(C)=O.CO.Cc1nc(C)c(C=O)s1.ClCCCl.O=C([O-])O.[Na+].[Na+].c1ccc2ncc(Nc3ncnc4c3CNC4)cc2c1>>Cc1nc(C)c(CN2Cc3ncnc(Nc4cnc5ccccc5c4)c3C2)s1
20537,CC(=O)OC[C@H]1O[C@@H](OCCBr)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@H](O[C@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O.C[O-].O.[Na+].[Na+].[OH-].[Pd]>>CCO[C@@H]1O[C@H](COC(C)=O)[C@@H](O[C@@H]2O[C@H](COC(C)=O)[C@H](O[C@H]3O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
45478,CC(=O)Nc1ncc(Sc2ccc(F)cc2F)s1.CCO.Cl>>Nc1ncc(Sc2ccc(F)cc2F)s1
821,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CSC(=N)N.ClCCl.[Na+].[OH-]>>CSC(=N)NC(=O)OC(C)(C)C
26815,CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(C#N)ccc32)CC1.CN(C)C=O.[Cl-].[N-]=[N+]=[N-].[NH4+].[Na+]>>CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(-c4nnn[nH]4)ccc32)CC1
20503,BrC(Br)(Br)Br.CCCCCC.CCOc1ccc([N+](=O)[O-])c(C=O)c1.ClCCl.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOc1ccc([N+](=O)[O-])c(C=C(Br)Br)c1
29022,CCOC(=O)/C(=N\OC1CCCCCCC1)C(=O)CBr.NC(N)=S>>CCOC(=O)/C(=N\OC1CCCCCCC1)c1csc(N)n1
8658,CN(C)C=O.Cl.N#Cc1cccc(F)c1.O=C([O-])[O-].Oc1ccc(Cl)cc1.[Cs+].[Cs+]>>N#Cc1cccc(Oc2ccc(Cl)cc2)c1
13473,CC(C)(C)OC(=O)N1CCC[C@H]1c1nc2cc(CBr)ccc2[nH]1.CN(C)C=O.O.O=C([O-])[O-].O=[N+]([O-])c1ccc(CNc2ccccc2)cc1.[K+].[K+]>>CC(C)(C)OC(=O)N1CCC[C@H]1c1nc2cc(CN(Cc3ccc([N+](=O)[O-])cc3)c3ccccc3)ccc2[nH]1
18086,CC(C)(C)CCN.Cc1ccccc1.O=Cc1cccc(F)c1NCCN1CCOCC1.O=S(=O)([O-])[O-].[Mg+2]>>CC(C)(C)CC/N=C/c1cccc(F)c1NCCN1CCOCC1
46565,CCOC(=O)CCN1CCC(C(=O)OCc2ccccc2)CC1.CCOC(C)=O.[OH-].[OH-].[Pd+2]>>CCOC(=O)CCN1CCC(C(=O)O)CC1
37334,C=O.COCCOc1cncc(OC[C@@H]2CCCN2)c1.O=C([O-])O.O=CO.[Na+]>>COCCOc1cncc(OC[C@@H]2CCCN2C)c1
19079,CC(C)I.CN(C)C=O.O.[H-].[Na+].c1ccc2[nH]ccc2c1>>CC(C)n1ccc2ccccc21
22227,Clc1ccc(Cl)nn1.N.NN.O>>NNc1ccc(Cl)nn1
30060,CC(=O)Oc1ccc(C=CC(=O)O)cc1.CS(=O)(=O)Oc1ccc(C(=N)N)cc1C(=O)c1ccccc1.c1ccncc1>>CC(=O)Oc1ccc(C=CC(=O)Oc2ccc(C(=N)N)cc2C(=O)c2ccccc2)cc1
33158,Cn1cnc(-c2cc(C#N)ccn2)c1Br.OB(O)c1ccc(F)cc1OCc1ccccc1>>Cn1cnc(-c2cc(C#N)ccn2)c1-c1ccc(F)cc1OCc1ccccc1
27169,CCOc1ccc(B(O)O)cc1.O=Cc1c(Cl)[nH]c2ccccc12>>CCOc1ccc(-n2c(Cl)c(C=O)c3ccccc32)cc1
44958,CO.Oc1ccccc1O.P>>COc1ccccc1O
31005,CCO.CCOC(=O)Cn1c(-c2ccc(Cl)cc2)nc2cccnc21.Cl.O.O.[Na+].[OH-]>>O=C(O)Cn1c(-c2ccc(Cl)cc2)nc2cccnc21
44592,Fc1ccc(-n2cnc3ccc(Br)cc32)c(F)c1.OB(O)c1ccnn1-c1ccc(F)cc1>>Fc1ccc(-n2nccc2-c2ccc3ncn(-c4ccc(F)cc4F)c3c2)cc1
2757,CCO.C[S-].O=C1c2cccc3c(Br)ccc(c23)C(=O)N1O.[Na+]>>CSc1ccc2c3c(cccc13)C(=O)N(O)C2=O
20726,COC(=O)Cl.Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)NNc1ccccc1.Cc1ccccc1.O>>COC(=O)N(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
31781,CCO.CCOC(=O)C(NC(=O)CCl)N(C(=O)CCl)c1cscn1.O.[K+].[OH-]>>O=C(CCl)NC(C(=O)O)N(C(=O)CCl)c1cscn1
31090,CC(C)(C)OC(=O)N1CCC(OS(C)(=O)=O)CC1.CN(C)C=O.O.[H-].[Na+].c1ccc(-c2cc[nH]n2)cc1>>CC(C)(C)OC(=O)N1CCC(n2ccc(-c3ccccc3)n2)CC1
28995,CC(C)N1CCNCC1C.CCc1nc2c(C)cc(C)nc2n1Cc1ccc(/C=C/CO)cc1>>CCc1nc2c(C)cc(C)nc2n1Cc1ccc(/C=C/CN2CCN(C(C)C)C(C)C2)cc1
11224,CC1NCCn2c(-c3ccsc3)ccc21.O=C(O)c1cc2ncc(Br)cn2n1>>CC1c2ccc(-c3ccsc3)n2CCN1C(=O)c1cc2ncc(Br)cn2n1
45724,CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(F)cc1F.CS(=O)(=O)NC(=O)c1cc(Cl)c(F)cc1F.OCC12CC3CC(CC(C3)C1)C2.OCCC1CCC1>>CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OCCC2CCC2)cc1F
31904,CCOC(=O)[C@H]1[C@@H](C=C(Cl)Cl)C1(C)C.Cl.ClCl>>CC1(C)C(C=C(Cl)Cl)C1C(=O)O
11742,CC(=O)O.Nc1cc(O)c(C(=O)O)cc1[N+](=O)[O-].[Pd]>>Nc1cc(O)c(C(=O)O)cc1N
23445,C1COCCO1.CC(C)(O)C1CCN(c2ncc(B(O)O)cc2C(F)F)CC1.COc1cc2nncc(Br)c2cc1OC.O.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>>COc1cc2nncc(-c3cnc(N4CCC(C(C)(C)O)CC4)c(C(F)F)c3)c2cc1OC
30622,COc1cc(-c2cc(CN3CCC(=O)CC3)ccn2)cc(OC)c1Cl.Nc1ccccc1>>COc1cc(-c2cc(CN3CCC(Nc4ccccc4)CC3)ccn2)cc(OC)c1Cl
4985,CC#N.CC(C)Br.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].O=[N+]([O-])c1c[nH]cn1.[I-].[K+].[K+]>>CC(C)n1cnc([N+](=O)[O-])c1
10817,CC(=O)Cl.CCO.Cc1ccc(F)c(C(=O)O)c1.O=C(O)c1ccccc1.O=C([O-])O.O=S(=O)(O)O.[Na+]>>CCOC(=O)c1cc(C)ccc1F
39663,CCN(CC)CC.CCOC(=O)CNCc1ccc(Br)cc1[N+](=O)[O-].ClCCl.O=C(Cl)c1ccc(Cl)cc1>>CCOC(=O)CN(Cc1ccc(Br)cc1[N+](=O)[O-])C(=O)c1ccc(Cl)cc1
12800,C1CCOC1.CC#N.CC(=O)[O-].CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)C2CCN(C(C)=O)CC2)CC1.CO.[BH3-]C#N.[NH4+].[Na+]>>CC(=O)N1CCC(C(=O)N2CCN(c3c(C(C)N)cc(Cl)c4cccnc34)CC2)CC1
11680,BrCCCCCBr.Cc1ccc(CCO)cc1>>Cc1ccc(CCOCCCCCBr)cc1
8807,CC(C)OC(=O)N1CCC(ON=C2CCNCC2)CC1.CCN(C(C)C)C(C)C.CCOC(C)=O.CS(C)=O.O=Cc1cnc(Cl)c(F)c1>>CC(C)OC(=O)N1CCC(ON=C2CCN(c3ncc(C=O)cc3F)CC2)CC1
28502,CC(C)O.ClCCl.NC(=O)c1cc(-c2cccnc2[C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2CC(=O)CC3)ccc1F.[BH4-].[Na+]>>NC(=O)c1cc(-c2cccnc2[C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2CC(O)CC3)ccc1F
37448,CCBr.CCCCOC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCNCC5)c4)cnn3c2N)cc1.CCN(CC)CC.CN(C)C=O.O>>CCCCOC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(CC)CC5)c4)cnn3c2N)cc1
40653,CC(C)(C)OC(=O)COc1cncc(C(=O)N2CCN(c3ccccc3C(C)(C)C)CC2)c1.O.O=C(O)C(F)(F)F.[Na+].[OH-]>>CC(C)(C)c1ccccc1N1CCN(C(=O)c2cncc(OCC(=O)O)c2)CC1
30477,C1=COCCC1.CC(=O)Nc1ccc(C(=O)/C=C/c2ccc(O)c(C)c2)c(C)c1.ClCCl>>CC(=O)Nc1ccc(C(=O)/C=C/c2ccc(OC3CCCCO3)c(C)c2)c(C)c1
13095,C1CCNCC1.CC(=O)O.Cc1ccccc1.O.O=C1CSC(=O)N1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1.O=Cc1cc(Cl)ccc1O>>O=C1SC(=Cc2cc(Cl)ccc2O)C(=O)N1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1
33619,CC1(C)OB(c2ccc(N)nc2)OC1(C)C.FC(F)c1cc(-c2ccc(C(F)(F)F)cc2)nc(-n2cnc(Br)c2)n1>>Nc1ccc(-c2cn(-c3nc(-c4ccc(C(F)(F)F)cc4)cc(C(F)F)n3)cn2)cn1
30505,C#CC1CC1.CC#N.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CCOC(C)=O.CN1C(=O)C2(CCCc3cnc(Cl)cc32)N=C1N.O=C([O-])[O-].[Cs+].[Cs+]>>CN1C(=O)C2(CCCc3cnc(C#CC4CC4)cc32)N=C1N
3001,C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CCN(C(C)C)C(C)C.CCOC(=O)/C=C/c1cc(Br)c(F)cc1N.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.SCc1ccccc1.[Pd].[Pd]>>CCOC(=O)/C=C/c1cc(SCc2ccccc2)c(F)cc1N
24066,CCN(CC)CC.CNC(C)CCc1cc(OC)ccc1I.COc1ccc(CC(=O)Cl)cc1OC.ClCCl>>COc1ccc(I)c(CCC(C)N(C)C(=O)Cc2ccc(OC)c(OC)c2)c1
35868,CC#N.CCCCCCCCC(=O)O.O=C(Cl)CCl.Oc1ccccc1>>CCCCCCCCC(=O)Oc1ccccc1
1590,CC(C)(C#N)c1ccc(Nc2c([N+](=O)[O-])nnc3ccc(Br)cc23)cc1.CCOC(C)=O.Cl[Sn]Cl.O.O.O=C([O-])[O-].[Na+].[Na+]>>CC(C)(C#N)c1ccc(Nc2c(N)nnc3ccc(Br)cc23)cc1
44253,CCO.O=[N+]([O-])c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1.[Pd]>>Nc1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1
35739,Cl.Nc1ccccc1N.O=C(O)CCc1ccccc1>>c1ccc(CCc2nc3ccccc3[nH]2)cc1
39538,C1CCOC1.CC(C)COC(=O)Cl.CCN(CC)CC.O=C(O)c1cc([N+](=O)[O-])ccc1Br>>O=[N+]([O-])c1ccc(Br)c(CO)c1
292,CN(C)C=O.CS(=O)(=O)OCCCC#Cc1ccc(C#N)cc1.O.[N-]=[N+]=[N-].[Na+]>>N#Cc1ccc(C#CCCCN=[N+]=[N-])cc1
21365,CCO.CCOC(=O)CC(=O)CCl.NC(=S)Nc1ccc(Cl)c(C(F)(F)F)c1>>CCOC(=O)Cc1csc(Nc2ccc(Cl)c(C(F)(F)F)c2)n1
22651,CC[n+]1ccccc1Br.CS/C(=N\C[Si](C)(C)C)c1ccc(C(=O)O)c(C)c1.ClCCl.F[B-](F)(F)F.NC1CSC1.O>>CSC(=NC[Si](C)(C)C)c1ccc(C(=O)NC2CSC2)c(C)c1
8780,Cc1ccc(N)c(N)c1.O=C(O)C1CCNCC1>>Cc1ccc2[nH]c(C3CCNCC3)nc2c1
11535,C1CCC2=NCCCN2CC1.CO.C[C@H]1C[C@H]2CSC(NC(=O)c3ccccc3)=N[C@@]2(c2ccc(F)cc2F)CO1>>C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccc(F)cc2F)CO1
40442,Cc1ccc2c(c1)c1ccccc1n2C(=O)OC(C)(C)C.ClC(Cl)(Cl)Cl.O=C(OOC(=O)c1ccccc1)c1ccccc1.O=C1CCC(=O)N1Br>>CC(C)(C)OC(=O)n1c2ccccc2c2cc(CBr)ccc21
19273,C1CCOC1.CCOC(OCC)c1cc2cncc(-c3ccc(C(=O)OC)cc3)c2o1.CO.[Na+].[OH-]>>CCOC(OCC)c1cc2cncc(-c3ccc(C(=O)O)cc3)c2o1
42785,CC(C)OC(=O)OCCl.CCCc1nc(C(C)(C)O)c(C(=O)O)[nH]1.CCCc1nc(C(C)(C)O)c(C(=O)OCOC(=O)C(C)(C)C)[nH]1>>CCCc1nc(C(C)(C)O)c(C(=O)OCOC(=O)OC(C)C)[nH]1
46956,CCOC(C)=O.CO.O.O=[N+]([O-])c1ccc(Cl)c(OCOCc2ccccc2)c1>>Nc1ccc(Cl)c(OCOCc2ccccc2)c1
13897,CCN(CC)CC.COCC(=O)Cl.ClCCl.Nc1cc([N+](=O)[O-])ccc1F.O>>COCC(=O)Nc1cc([N+](=O)[O-])ccc1F
39879,CC(=O)Nc1cccc(B(O)O)c1.COC(=O)c1ccc(NS(=O)(=O)c2cccc(Br)c2)cc1O>>COC(=O)c1ccc(NS(=O)(=O)c2cccc(-c3cccc(NC(C)=O)c3)c2)cc1O
42499,COc1ccccc1.Cc1cc(C)cc(-c2c(OCCC3CCCCN3C(=O)OC(C)(C)C)c3cc([N+](=O)[O-])c(Cl)cc3n(C)c2=O)c1.O=C(O)C(F)(F)F>>Cc1cc(C)cc(-c2c(OCCC3CCCCN3)c3cc([N+](=O)[O-])c(Cl)cc3n(C)c2=O)c1
14054,CC(C)=O.CC(C)Nc1cc(Cl)ncc1C(=O)NC[C@@H](F)C(C)(C)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.N#Cc1cnc(N)nc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[K+].[K+].[Pd].[Pd]>>CC(C)Nc1cc(Nc2ncc(C#N)cn2)ncc1C(=O)NC[C@@H](F)C(C)(C)O
9648,CS(=O)(=O)Cl.ClCCl.O.O=C(NC1CCNCC1)c1ccc(F)cc1.c1ccncc1>>CS(=O)(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1
19345,CC(C)Cc1cc(-c2ccc(Cn3ccnc3)cc2)c(S(N)(=O)=O)s1.CCCCOC(=O)Cl.c1ccc(N2CCCC2)nc1.c1ccncc1>>CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2ccnc2)cc1
49750,CS(=O)(=O)c1cccc(N)c1.Cl.O=C(O)c1cnn2c(C(F)(F)F)cc(-c3ccc(C(F)(F)F)c(Cl)c3)nc12>>CS(=O)(=O)c1cccc(NC(=O)c2cnn3c(C(F)(F)F)cc(-c4ccc(C(F)(F)F)c(Cl)c4)nc23)c1
147,CC(C)(C)OC(=O)N[C@@H](CCO[Si](C)(C)C(C)(C)C)C(=O)O.CC1CCC(C(C)C)C(O)C1.CN(C)c1ccncc1.ClCCCl.ClCCl>>CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C
34380,C[O-].OCC(O)Cn1cnc2c(Cl)nc3ccccc3c21.[Na+]>>COc1nc2ccccc2c2c1ncn2CC(O)CO
40393,O=C(c1cccc2ccccc12)N1CC[C@H](N(Cc2ccnc3ccccc23)C(=O)C(F)(F)F)C[C@H]1Cc1ccccc1.[BH4-].[Na+]>>O=C(c1cccc2ccccc12)N1CC[C@H](NCc2ccnc3ccccc23)C[C@H]1Cc1ccccc1
21476,CCCCCC.CCCc1c(C(C)C)cc(C(C)C)c(CO)c1-c1ccc(F)cc1OCc1ccccc1.CCOC(C)=O>>CCCc1c(C(C)C)cc(C(C)C)c(C=O)c1-c1ccc(F)cc1OCc1ccccc1
1238,N#Cc1cc(Cl)ccn1.NC(=O)c1cc(Oc2cccc(N)c2)ccn1.Nc1ccc(O)c(F)c1>>N#Cc1cc(Oc2ccc(N)cc2F)ccn1
28161,CC(C)O.ClC(Cl)Cl.O=[N+]([O-])C=Cc1ccc2c(c1)c1cc(Cl)cnc1n2S(=O)(=O)c1ccccc1.[BH4-].[Na+]>>O=[N+]([O-])CCc1ccc2c(c1)c1cc(Cl)cnc1n2S(=O)(=O)c1ccccc1
48031,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Cc1ccc2c(n1)oc1c(B3OC(C)(C)C(C)(C)O3)cccc12.Cc1ccccc1.Fc1ccccc1-c1ccnc(Cl)c1.O.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=P([O-])([O-])[O-].[K+].[K+].[K+].[Pd]>>Cc1ccc2c(n1)oc1c(-c3cc(-c4ccccc4F)ccn3)cccc12
46021,CC(C)(F)C[C@H](N[C@@](C#CCO)(c1ccc(Br)cc1)C(F)(F)F)C(=O)O.CCN(CC)CC.CCOC(C)=O.CN(C)C(On1nnc2cccnc21)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.NC(=O)[C@@H](N)CSC(c1ccccc1)(c1ccccc1)c1ccccc1.O.O=C([O-])O.On1nnc2cccnc21.[Na+]>>CC(C)(F)C[C@H](N[C@@](C#CCO)(c1ccc(Br)cc1)C(F)(F)F)C(=O)N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(N)=O
14794,C1CC2CNCCN2C1.CC(C)Oc1cc(C(C)(C)C)ccc1C1=NC(C)(c2ccc(Cl)cc2)C(C)(c2ccc(Cl)cc2)N1C(=O)Cl>>CC(C)Oc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN2CCCC2C1
24091,CN(C)C=O.COC(=O)c1ccc(F)c(N)c1.Cc1ccn2c(C(=O)O)cnc2c1.ClCCl.O.c1ccncc1>>COC(=O)c1ccc(F)c(NC(=O)c2cnc3cc(C)ccn23)c1
10685,CS(C)=O.Cl.Clc1ccccc1Cl.O.Oc1cc(Cl)nnc1Cl.Oc1cccc(C(F)(F)F)c1.[Na+].[OH-]>>Oc1cc(Cl)nnc1Oc1cccc(C(F)(F)F)c1
